Página,XSS,SQLi,LFI
http://localhost/drupal7/,1,1,1
http://localhost/drupal7/10,0,0,0
http://localhost/drupal7/includes/,0,0,0
http://localhost/drupal7/misc/,0,0,0
http://localhost/drupal7/modules/,0,0,0
http://localhost/drupal7/profiles/,0,0,0
http://localhost/drupal7/scripts/,0,0,0
http://localhost/drupal7/themes/,0,0,0
http://localhost/drupal7/CHANGELOG.txt,0,0,0
http://localhost/drupal7/cron.php,1,1,1
http://localhost/drupal7/INSTALL.mysql.txt,0,0,0
http://localhost/drupal7/INSTALL.pgsql.txt,0,0,0
http://localhost/drupal7/INSTALL.sqlite.txt,0,0,0
http://localhost/drupal7/install.php,0,0,0
http://localhost/drupal7/INSTALL.txt,0,0,0
http://localhost/drupal7/LICENSE.txt,0,0,0
http://localhost/drupal7/MAINTAINERS.txt,0,0,0
http://localhost/drupal7/update.php,0,0,0
http://localhost/drupal7/UPGRADE.txt,0,0,0
http://localhost/drupal7/xmlrpc.php,0,0,0
http://localhost/drupal7/admin/,0,0,0
http://localhost/drupal7/comment/reply/,0,0,0
http://localhost/drupal7/filter/tips/,0,0,0
http://localhost/drupal7/node/add/,0,0,0
http://localhost/drupal7/search/,0,0,0
http://localhost/drupal7/user/register/,0,0,0
http://localhost/drupal7/user/password/,0,0,0
http://localhost/drupal7/user/login/,0,0,0
http://localhost/drupal7/user/logout/,0,0,0
http://localhost/drupal7/%3Fq%3Dadmin/,0,0,0
http://localhost/drupal7/%3Fq%3Dcomment/reply/,0,0,0
http://localhost/drupal7/%3Fq%3Dfilter/tips/,0,0,0
http://localhost/drupal7/%3Fq%3Dnode/add/,0,0,0
http://localhost/drupal7/%3Fq%3Dsearch/,0,0,0
http://localhost/drupal7/%3Fq%3Duser/password/,0,0,0
http://localhost/drupal7/%3Fq%3Duser/register/,0,0,0
http://localhost/drupal7/%3Fq%3Duser/login/,0,0,0
http://localhost/drupal7/%3Fq%3Duser/logout/,0,0,0
http://localhost/drupal7/drupal7/?q=user/register,0,0,0
http://localhost/drupal7/drupal7/?q=user/password,0,0,0
http://localhost/drupal7/10/drupal7/?q=user/password,0,0,0
