Tipo,Dominio,IP,DNS Inverso,País
Txt,"v=spf1 mx a ip4:132.248.124.132 a:mail.seguridad.unam.mx -all",NA,NA,NA
Txt,"google-site-verification=d8BkDyvzM1PQzdyBHAEq1Oq1wCEbhCrEiSEIuy8FEvs",NA,NA,NA
Host,ds5000.seguridad.unam.mx,132.248.124.130,ds5000.seguridad.unam.mx,Mexico
Host,sigaba.seguridad.unam.mx,132.248.124.143,sigaba.seguridad.unam.mx,Mexico
Host,kryha.seguridad.unam.mx,132.248.124.152,kryha.seguridad.unam.mx,Mexico
Host,enigma.seguridad.unam.mx,132.248.124.176,enigma.seguridad.unam.mx,Mexico
Host,hidra.seguridad.unam.mx,132.247.234.19,hidra.seguridad.unam.mx,Mexico
Host,quimera.seguridad.unam.mx,132.248.124.137,quimera.seguridad.unam.mx,Mexico
Host,medusa.seguridad.unam.mx,132.247.234.20,medusa.seguridad.unam.mx,Mexico
Host,becariosb.seguridad.unam.mx,132.248.124.187,becariosb.seguridad.unam.mx,Mexico
Host,bec.seguridad.unam.mx,132.248.124.188,bec.seguridad.unam.mx,Mexico
Host,regbec.seguridad.unam.mx,132.248.124.130,ds5000.seguridad.unam.mx,Mexico
Host,biometric.seguridad.unam.mx,132.248.124.177,biometric.seguridad.unam.mx,Mexico
Host,csc.seguridad.unam.mx,132.248.124.153,clipper.seguridad.unam.mx,Mexico
Host,payload.seguridad.unam.mx,132.248.124.159,payload.seguridad.unam.mx,Mexico
Host,esfinge.seguridad.unam.mx,132.247.234.7,esfinge.seguridad.unam.mx,Mexico
Host,forense.seguridad.unam.mx,132.248.124.166,forense.seguridad.unam.mx,Mexico
Host,spoofing.seguridad.unam.mx,132.248.124.160,spoofing.seguridad.unam.mx,Mexico
Host,turing.seguridad.unam.mx,132.248.124.165,turing.seguridad.unam.mx,Mexico
Host,bug.seguridad.unam.mx,132.248.124.167,bug.seguridad.unam.mx,Mexico
Host,twofish.seguridad.unam.mx,132.248.124.130,ds5000.seguridad.unam.mx,Mexico
Host,stealth.seguridad.unam.mx,132.247.234.3,stealth.seguridad.unam.mx,Mexico
Host,skipjack.seguridad.unam.mx,132.248.124.154,skipjack.seguridad.unam.mx,Mexico
Host,attack.seguridad.unam.mx,132.248.124.181,attack.seguridad.unam.mx,Mexico
Host,mail.seguridad.unam.mx,132.248.124.138,mail.seguridad.unam.mx,Mexico
Host,spam.seguridad.unam.mx,132.248.124.179,spam.seguridad.unam.mx,Mexico
Host,worm.seguridad.unam.mx,132.248.124.183,worm.seguridad.unam.mx,Mexico
Host,satan.seguridad.unam.mx,132.248.124.161,satan.seguridad.unam.mx,Mexico
Host,hebern.seguridad.unam.mx,132.248.124.168,hebern.seguridad.unam.mx,Mexico
Host,cifrado.seguridad.unam.mx,132.248.124.178,cifrado.seguridad.unam.mx,Mexico
Host,filtrado.seguridad.unam.mx,132.247.146.151,filtrado.seguridad.unam.mx,Mexico
Host,correo.seguridad.unam.mx,132.248.124.132,correo.seguridad.unam.mx,Mexico
Host,troyano.seguridad.unam.mx,132.248.124.142,troyano.seguridad.unam.mx,Mexico
Host,cerbero.seguridad.unam.mx,132.247.234.18,cerbero.seguridad.unam.mx,Mexico
Host,congreso.seguridad.unam.mx,132.248.124.138,mail.seguridad.unam.mx,Mexico
Host,pgp.seguridad.unam.mx,132.248.124.166,forense.seguridad.unam.mx,Mexico
Host,ftp.seguridad.unam.mx,132.248.124.161,satan.seguridad.unam.mx,Mexico
Host,lucifer.seguridad.unam.mx,132.248.124.150,lucifer.seguridad.unam.mx,Mexico
Host,clipper.seguridad.unam.mx,132.248.124.153,clipper.seguridad.unam.mx,Mexico
Host,listas.seguridad.unam.mx,132.248.124.161,satan.seguridad.unam.mx,Mexico
Host,pocs.seguridad.unam.mx,132.247.234.26,pocs.seguridad.unam.mx,Mexico
Host,cypris.seguridad.unam.mx,132.248.124.151,cypris.seguridad.unam.mx,Mexico
Host,tools.seguridad.unam.mx,132.248.124.130,ds5000.seguridad.unam.mx,Mexico
Host,contenidos.seguridad.unam.mx,132.248.124.130,ds5000.seguridad.unam.mx,Mexico
Host,nagios.seguridad.unam.mx,132.248.124.147,nagios.seguridad.unam.mx,Mexico
Host,virus.seguridad.unam.mx,132.248.124.182,virus.seguridad.unam.mx,Mexico
Host,colossus.seguridad.unam.mx,132.248.124.161,satan.seguridad.unam.mx,Mexico
Host,rootkit.seguridad.unam.mx,132.248.124.148,rootkit.seguridad.unam.mx,Mexico
Host,exploit.seguridad.unam.mx,132.248.124.180,acceso.cert.unam.mx,Mexico
Host,saint.seguridad.unam.mx,132.248.124.171,saint.seguridad.unam.mx,Mexico
Host,cert.seguridad.unam.mx,132.248.124.144,cert.seguridad.unam.mx,Mexico
Host,tv.seguridad.unam.mx,132.248.124.130,ds5000.seguridad.unam.mx,Mexico
Host,potflow.seguridad.unam.mx,132.248.194.250,potflow.seguridad.unam.mx,Mexico
Host,hoax.seguridad.unam.mx,132.248.124.158,hoax.seguridad.unam.mx,Mexico
