Tipo,Dominio,IP
Dns_forward,seguridad.unam.mx,ns4.un2m.mx
Dns_forward,seguridad.unam.mx,ns1.unam.mx
Dns_forward,seguridad.unam.mx,ns2.unam.mx
Dns_forward,seguridad.unam.mx,ns3.unam.mx
Dns_forward,seguridad.unam.mx,ns5.unam.mx
Dns_forward,seguridad.unam.mx,ns4.unam.mx
Host_forward,seguridad.unam.mx,132.248.124.130
Mx_forward,seguridad.unam.mx,NA
Mx_forward,seguridad.unam.mx,NA
Mx_forward,seguridad.unam.mx,NA
Mx_forward,seguridad.unam.mx,NA
Mx_forward,seguridad.unam.mx,NA
Mx_forward,seguridad.unam.mx,NA
Host_reverse,www.asc.unam.mx,132.248.124.130
Host_reverse,twofish.seguridad.unam.mx,132.248.124.130
Host_reverse,honeynet.unam.mx,132.248.124.130
Host_reverse,seguridad.unam.mx,132.248.124.130
Host_reverse,www.cert.unam.mx,132.248.124.130
Host_reverse,www.unam-cert.unam.mx,132.248.124.130
Host_reverse,ds5000.seguridad.unam.mx,132.248.124.130
Host_reverse,revista.seguridad.unam.mx,132.248.124.130
Host_reverse,cert.org.mx,132.248.124.130
Host_reverse,malware.unam.mx,132.248.124.130
Host_reverse,www.seguridad2003.unam.mx,132.248.124.130
Host_reverse,cert.unam.mx,132.248.124.130
